Titre,Entreprise,Lieu,Contrat,Salaire
Data Analyst - (H/F) - En alternance,OpenClassrooms,Levallois-Perret (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Pessac (33),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer confirmé(e) Services Financiers Lille,Groupe Talents Handicap,Nord (59),CDI,N/A
Consultant DATA Gouvernance H/F,Michael Page,Paris 12 (75),Indépendant / Franchisé,116 991 € - 142 989 € par an
Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Saint-Nazaire (44),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Clichy (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Levallois-Perret (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Chef de projet Data – Acteur mondial de l’évènementiel,Silkhom,Lyon (69),CDI,N/A
Leader Technique DATA – Informatica IDMC - DCoE France,Groupe Talents Handicap,Bouches-du-Rhône (13),CDI,N/A
Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
DATA ANALYST (F/H),Expectra,Gentilly (94),Intérim- 5 mois,41 000 € - 42 000 € par an
Consultant DATA / Gouvernance des données DCoE - France,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Architecte DATA transverse DCoE - France,Groupe Talents Handicap,Rhône (69),CDI,N/A
ALTERNANCE – Ingénieur - Architecte Data – H/F,Naval Group,Lorient (56),Alternance / Apprentissage,N/A
Tech Lead Data Engineer GCP - Paris,Groupe Talents Handicap,Hauts-de-Seine (92),"CDI, Alternance / Apprentissage",N/A
Consultant.e Data Expérimenté.e - Industrie et Services - Lille,Groupe Talents Handicap,Nord (59),CDI,N/A
Master Data Manager – Télécoms,Silkhom,Toulouse (31),Indépendant / Franchisé,N/A
Data Analyst - (H/F) - En alternance,OpenClassrooms,Clichy (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Airbus Atlantic - Data Governance Manager (All Gender),AIRBUS,Toulouse (31),CDI,N/A
DATA ANALYST (F/H),Expectra,Mèze (34),CDD- 12 mois,42 000 € - 50 000 € par an
Consultant.e Data Expérimenté.e - Industrie et Services - Lille,Groupe Talents Handicap,Nord (59),CDI,N/A
Master Data Manager – Télécoms,Silkhom,Toulouse (31),Indépendant / Franchisé,N/A
Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Levallois-Perret (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Boulogne-Billancourt (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Engineer - (H/F) - En alternance,OpenClassrooms,Bouguenais (44),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Saint-Denis (93),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Paris (75),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Data Analyst - (H/F) - En alternance,OpenClassrooms,Clichy (92),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
Architecte DATA transverse DCoE - France,Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Alternance - Data Analyst H/F,Caisse d'Epargne Normandie,Bois-Guillaume (76),Alternance / Apprentissage,N/A
Chef de projet Data center H/F,Complément RH,Paris (75),CDI,45 000 € - 60 000 € par an
Alternance Data Marketer - Montreuil (F/H),ISCOD ALTERNANCE,Montreuil (93),Alternance / Apprentissage,N/A
Développeur Big Data  (H/F),asap.work,Nantes (44),Intérim,À partir de 60 000 € par an
MASTER DATA FINANCE H/F,POLYGONE RH,Marseille (13),CDI,N/A
Alternance ingénieur DATA H/F,Legallais,Hérouville-Saint-Clair (14),Alternance / Apprentissage,N/A
Data Engineer senior - Services Financiers - Lille,Groupe Talents Handicap,Lille (59),CDI,N/A
DATA ANALYSTE H/F - SANOFI - R2809010,SUPPLAY,Gentilly (94),Intérim,"À partir de 3 487,24 € par mois"
Alternance Data Analyst Performance - Puteaux (F/H),ISCOD ALTERNANCE,Puteaux (92),Alternance / Apprentissage,N/A
Chef de Projet Construction Data Center (H/F/D),BRAINFIELD,Les Ulis (91),CDI,N/A
DATA ANALYST (F/H),Randstad,Évreux (27),Intérim- 183 jours,"À partir de 16,85 € par heure"
Alternance ingénieur DATA H/F,Legallais,Hérouville-Saint-Clair (14),Alternance / Apprentissage,N/A
ALTERNANCE - Technicien Data Center (H/F),THALES,Ferrières-en-Brie (77),Alternance / Apprentissage,N/A
Alternance Data Analyst H/F - Clichy (F/H),ISCOD ALTERNANCE,Clichy (92),Alternance / Apprentissage,N/A
Alternance - Assistant Data Quality,IMIE Paris,Paris (75),Alternance / Apprentissage- 24 mois,N/A
Analyste Data Finance H/F,Michael Page Interim,Courbevoie (92),Indépendant / Franchisé,70 000 € - 80 000 € par an
Data Engineer Snowflake – Domaine Finance,Silkhom,Courbevoie (92),Indépendant / Franchisé,N/A
Data Analyst en alternance H/F,BRANCHE EUREDEN AGRICULTURE,Landerneau (29),Alternance / Apprentissage,N/A
Consultant - Data - Aeroline - Toulouse F/H,Groupe Talents Handicap,Toulouse (31),CDI,N/A
Alternance - Data Analyst  (h/f),LHH Recruitment Solutions,Courbevoie (92),Alternance / Apprentissage,À partir de 12 € par heure
Data Analyst Junior (H/F/D),SAMSIC EMPLOI,Rennes (35),CDD- 3 mois,N/A
RAF & Data bilingue,FED FINANCE,Paris (75),CDI,65 000 € - 70 000 € par an
Stage - Data Scientist  H/F,BNP PARIBAS,Rueil-Malmaison (92),Stage,N/A
Data Engineer - PySpark - Services Financiers - Ile de France,Groupe Talents Handicap,Paris (75),CDI,N/A
Data Analyst Junior H/F,Breizh Interim,Chartres-de-Bretagne (35),Intérim,N/A
Directeur de projets - Data Center H/F,FAYAT ENERGIE SERVICES,Viry-Châtillon (91),CDI,N/A
DATA ANALYST (F/H),Randstad,Chartres-de-Bretagne (35),Intérim- 3 mois,À partir de 13 € par heure
Commissioning Manager Data Center (H/F/D),BRAINFIELD,Paris (75),CDI,N/A
Data Engineer Expérimenté(e) - Environnement Azure - Industrie & Services - Lyon,Groupe Talents Handicap,Lyon (69),CDI,N/A
Data Ingénieur(e) Snowflake expérimenté(e) - Industrie & Service - Aix En Provence,Groupe Talents Handicap,Bouches-du-Rhône (13),CDI,N/A
Architecte DATA & IA  (H/F),RATP,Paris 12 (75),CDI,N/A
Data Engineer DataIku - Services Financiers – Ile-de-France,Groupe Talents Handicap,Paris (75),CDI,N/A
Consultant confirmé - Stratégie et Transformation -  Data & IA F/H,Groupe Talents Handicap,Saint-Ouen (93),"CDI, Stage",N/A
Architecte Cloud & Data - H/F,Groupe Talents Handicap,Seine-Saint-Denis (93),CDI,N/A
HR DATA ANALYST (F/H),Expectra,Blagnac (31),Intérim- 5 mois,40 000 € - 47 000 € par an
Alternance – Data Engineer – Services Financiers – Data factory -Nantes,Groupe Talents Handicap,Nantes (44),Alternance / Apprentissage,N/A
Responsable Commissioning Data Center (H/F/D),BRAINFIELD,Paris (75),CDI,N/A
"Data Scientist - Consultant, GFS EMEA",Groupe Talents Handicap,Hauts-de-Seine (92),CDI,N/A
Data Analyst Laboratoire H/F,ADEQUAT,Saint-Priest (69),"CDI Intérimaire, Intérim",33 000 € - 40 000 € par an
Business Developer - Data H/F,Teamis,Paris (75),CDI,50 000 € - 70 000 € par an
Data Engineer Spark Scala  - Services Financiers - Ile de France,Groupe Talents Handicap,Paris (75),CDI,N/A
Big Data Engineer - Services Financiers - Ile de France,Groupe Talents Handicap,Paris (75),CDI,N/A
Alternance Data Engineer - Aix,Groupe Talents Handicap,Aix-en-Provence (13),Alternance / Apprentissage,N/A
Architecte Data IA (H/F),THALES,Vélizy-Villacoublay (78),CDI,N/A
Chef(fe) de projet - Développement/Data - Lyon,Groupe Talents Handicap,Lyon (69),CDI,N/A
Ingénieur Data Analyst - Airbus H/F,Page Personnel,Toulouse (31),Intérim- 6 mois,35 000 € - 40 000 € par an
Gestionnaire Souscriptions Data - Private Equity,FED FINANCE,Paris (75),CDI,40 000 € - 50 000 € par an
Responsable Commissioning Data Center (H/F/D),BRAINFIELD,Paris (75),CDI,N/A
Technico-commercial - Data Centers (H/F),Uptoo,Lyon (69),CDI,40 000 € - 45 000 € par an
Data Protection and Compliance Officer (H/F),ADSEARCH,Paris (75),CDI,60 000 € - 70 000 € par an
Juriste data 3 ans min (H/F),Fed Legal,Paris (75),CDI,50 000 € - 80 000 € par an
Stage - Data visualization - PMO IT (h/f),BNP PARIBAS,Jardin du Luxembourg (75),Stage,N/A
Chef(fe) de projet - Développement/Data - Lyon,Groupe Talents Handicap,Lyon (69),CDI,N/A
CDI - Architecte technique Big Data – SBS – Annecy,Groupe Talents Handicap,Annecy (74),CDI,N/A
Stage - Data Scientist - H/F,Naval Group,Toulon (83),Stage,N/A
Stage - Data visualization - PMO IT (h/f),BNP PARIBAS,Jardin du Luxembourg (75),Stage,N/A
Data Engineer Expérimenté(e) - Environnement Azure - Industrie & Services - Clermont-Ferrand,Groupe Talents Handicap,Clermont-Ferrand (63),CDI,N/A
Ingénieur Commercial - Data H/F,Teamis,Paris (75),CDI,50 000 € - 70 000 € par an
Consultant Data (F/H) -  apprentissage,Groupe Talents Handicap,Hauts-de-Seine (92),Alternance / Apprentissage,N/A
Architecte Data CLOUD (H/F),THALES,Vélizy-Villacoublay (78),CDI,N/A
Head of Sales - Cloud & Data F/H,Groupe Talents Handicap,Val-d'Oise (95),CDI,N/A
IT Manager data backup H/F,BNP PARIBAS,Montreuil-sur-Epte (95),CDI,N/A
Planificateur Expérimenté - Data Center (H/F),asap.work,Paris 03 (75),CDI,40 000 € - 60 000 € par an
Opérateur d'atelier - Data center,TEMPORIS,Ville-la-Grand (74),Intérim,N/A
Gestionnaire DATA - CDD F/H,TERACT,Courbevoie (92),CDD,N/A
DATA Analyst avec une Appétence Commerciale H/F - 24 Mois,BNP PARIBAS,Levallois-Perret (92),"CDI, Alternance / Apprentissage",N/A
Planificateur Expérimenté - Data Center (H/F),asap.work,Paris 03 (75),CDI,40 000 € - 60 000 € par an
Stage - Data Analyst F/H,Groupe Fnac Darty,Ivry-sur-Seine (94),Stage,N/A
Alternance - Data engineer  - F/H,RTE - Réseau de transport d'électricité,Lyon 7e Arrondissement,Alternance / Apprentissage- 18 mois,N/A
Data Scientist - Consultant en Optimisation de Systèmes d'Information Bancaire H/F,Groupe Talents Handicap,Loire-Atlantique (44),CDI,N/A
Data Scientist Machine Learning - (H/F) - En alternance,OpenClassrooms,Massy (91),Alternance / Apprentissage- 0 Year,900 € - 1 600 € par mois
